category,axis,count,mean,median,p05,p10,p25,p75,p90,p95,min,max,is_unreliable
tentoys,width_cm,1,72,72,72,72,72,72,72,72,72,72,true
toiletaccessories,depth_cm,4,18.25,19,16.45,16.9,18.25,19,19,19,16,19,true
toiletaccessories,height_cm,4,35.25,27,27,27,27,35.25,50.1,55.05,27,60,true
toiletaccessories,width_cm,4,21,23,16.2,17.4,21,23,23,23,15,23,true
towelrails_towelholders,depth_cm,2,26,26,9.8,11.6,17,35,40.4,42.2,8,44,true
towelrails_towelholders,height_cm,2,75,75,16.5,23,42.5,107.5,127,133.5,10,140,true
towelrails_towelholders,width_cm,2,45.5,45.5,39.65,40.3,42.25,48.75,50.7,51.35,39,52,true
tv_unit,depth_cm,6,42,42,42,42,42,42,42,42,42,42,true
tv_unit,height_cm,6,204.33,206,146,161,191,236,246,248.5,131,251,true
tv_unit,width_cm,6,266.67,290,190,200,235,300,310,315,180,320,true
valentuna_system,depth_cm,74,92.61,93,13,13,13,113,193,225.55,13,286,false
valentuna_system,height_cm,74,74.35,84,45,45,46,84,100,104,45,104,false
valentuna_system,width_cm,74,170.5,100,80,80,80,266,346,353,80,466,false
vimle_system,depth_cm,94,107.1,98,93,93,98,98,164,164,13,164,false
vimle_system,height_cm,94,57.46,53,45,45,45,68,76.4,80,20,80,false
vimle_system,width_cm,94,171.82,190,71,71,93,241,252,271,15,322,false
wallorganizer,depth_cm,2,7.5,7.5,6.15,6.3,6.75,8.25,8.7,8.85,6,9,true
wallorganizer,height_cm,2,26.5,26.5,17.05,18.1,21.25,31.75,34.9,35.95,16,37,true
wallorganizer,width_cm,2,53.5,53.5,38.65,40.3,45.25,61.75,66.7,68.35,37,70,true
wardrobe,depth_cm,330,49.85,56.9,8,30,37.5,60,66,66,7,66,false
wardrobe,height_cm,330,168.82,226,7,16,81.5,236.4,236.4,236.4,5,236.4,false
wardrobe,width_cm,330,125.09,100,43.5,46.1,71.1,150,200,249.5,15,300,false
waste_sorting_bin,depth_cm,6,37.33,36.5,17.25,20.5,29,50.75,55,55,14,55,true
waste_sorting_bin,height_cm,6,37.83,36,27.25,27.5,28.5,44.25,50,52.5,27,55,true
waste_sorting_bin,width_cm,6,29,28,19.5,20,22.5,36.5,39,39,19,39,true
woodentoys,depth_cm,1,18,18,18,18,18,18,18,18,18,18,true
woodentoys,height_cm,1,33,33,33,33,33,33,33,33,33,33,true
woodentoys,width_cm,1,39,39,39,39,39,39,39,39,39,39,true
