room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text
Bedroom,bed,Bed Accessories,Bed Accessories,09229084,180,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09229084.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 180 cm
Bedroom,bed,Bed Accessories,Bed Accessories,79229071,180,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/79229071.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 180 cm
Bedroom,bed,Bed Accessories,Bed Accessories,00228705,86,205,57,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/00228705.jpg,Height of drawer (inside): 21 cm Length: 205 cm Width: 86 cm Height: 57 cm Width of drawer (inside): 87 cm Bed width: 160 cm Bed length: 205 cm Mattress length: 200 cm Mattress width: 80 cm
Bedroom,bed,Bed Accessories,Bed Accessories,00320134,88,207,86,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/00320134.jpg,Length: 207 cm Width: 88 cm Height: 86 cm Mattress length: 200 cm Mattress width: 80 cm
Bedroom,bed,Bed Accessories,Bed Accessories,90349326,89,70,83,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/90349326.jpg,Height of drawer (inside): 18 cm Length: 209 cm Width: 89 cm Height: 83 cm Width of drawer (inside): 55 cm Depth of drawer (inside): 70 cm Bed width: 168 cm Bed length: 200 cm Mattress length: 200 cm Mattress width: 80 cm
Bedroom,bed,Bed Accessories,Bed Accessories,20284597,97,210,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/20284597.jpg,Length: 210 cm Width: 97 cm Height: 80 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,20424362,88,207,94,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/20424362.jpg,Length: 207 cm Width: 88 cm Height: 94 cm Bed width: 163 cm Bed length: 207 cm Mattress length: 200 cm Mattress width: 80 cm
Bedroom,bed,Bed Accessories,Bed Accessories,20436341,97,210,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/20436341.jpg,Length: 210 cm Width: 97 cm Height: 80 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,29179554,97,210,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/29179554.jpg,Length: 210 cm Width: 97 cm Height: 80 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,39279280,88,207,94,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39279280.jpg,Length: 207 cm Width: 88 cm Height: 94 cm Mattress length: 200 cm Mattress width: 80 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59292742,97,210,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59292742.jpg,Length: 210 cm Width: 97 cm Height: 80 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,80017389,80,190,36,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/80017389.jpg,Length: 190 cm Width: 80 cm Height: 36 cm Mattress thickness: 6.5 cm
Bedroom,bed,Bed Accessories,Bed Accessories,69302566,97,45,73,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/69302566.jpg,"Desk depth: 45 cm Width with ladder: 135 cm Length: 207 cm Width: 97 cm Desk width: 95 cm Desk height: 73 cm Height: 195 cm Height under loft bed: 150 cm Max. load: 100 kg Mattress length: 200 cm Mattress width: 90 cm Max. thickness, mattress: 13 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,40411410,95,45,73,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/40411410.jpg,Width: 95 cm Depth: 45 cm Height: 73 cm
Bedroom,bed,Bed Accessories,Bed Accessories,80411272,97,207,162,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/80411272.jpg,"Max. weight/sleeping level: 100 kg Length: 207 cm Width: 97 cm Height: 162 cm Free height under furniture: 23 cm Mattress length: 200 cm Mattress width: 90 cm Distance between beds: 91 cm Max. thickness, mattress: 13 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,00102452,97,206,157,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/00102452.jpg,"Height: 157 cm Bed width: 97 cm Bed length: 206 cm Mattress length: 200 cm Mattress width: 90 cm Max. thickness, mattress: 19 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,00239233,96.5,207,130.5,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/00239233.jpg,"Length: 207 cm Width: 96.5 cm Height: 130.5 cm Free height under furniture: 14.5 cm Mattress length: 200 cm Mattress width: 90 cm Distance between beds: 86 cm Max. thickness, mattress: 11 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,20247982,97,208,186,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/20247982.jpg,"Length: 208 cm Distance from floor to bed base: 145 cm Width: 97 cm Height: 186 cm Mattress length: 200 cm Mattress width: 90 cm Max. thickness, mattress: 21 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,70242086,153,213,214,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/70242086.jpg,Length: 213 cm Distance from floor to bed base: 176 cm Width: 153 cm Height: 214 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,90299449,97,208,179,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/90299449.jpg,"Length: 208 cm Distance from floor to bed base: 145 cm Width: 97 cm Height: 179 cm Mattress length: 200 cm Mattress width: 90 cm Max. thickness, mattress: 15 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,10247973,97,208,159,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/10247973.jpg,"Length: 208 cm Width: 97 cm Height: 159 cm Mattress length: 200 cm Mattress width: 90 cm Max. thickness, mattress: 22 cm"
Bedroom,bed,Bed Accessories,Bed Accessories,49209866,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/49209866.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,49210445,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/49210445.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19209900,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19209900.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59210459,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59210459.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59209936,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59209936.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09210471,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09210471.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,69209950,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/69209950.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09210485,90,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09210485.jpg,Length: 200 cm Width: 90 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09208152,140,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09208152.jpg,Length: 200 cm Width: 140 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,89208153,140,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/89208153.jpg,Length: 200 cm Width: 140 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,49208150,140,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/49208150.jpg,Length: 200 cm Width: 140 cm Height: 20 cm
